1  Number Iterations: 10
1  Number Iterations: 10
0.5  Number Iterations: 8
0.5  Number Iterations: 8
0.5  Number Iterations: 8
0.5  Number Iterations: 8
0.25  Number Iterations: 7
0.25  Number Iterations: 6
0.25  Number Iterations: 6
0.25  Number Iterations: 6
0.25  Number Iterations: 6
0.25  Number Iterations: 6
0.25  Number Iterations: 6
0.25  Number Iterations: 6
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.125  Number Iterations: 5
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
0.0625  Number Iterations: 4
